Região;UF;Estado;Percentual;Suplementação
Sudeste;SP;São Paulo;4,1675%;3274185,32
Sudeste;MG;Minas Gerais;3,9354%;3091836,78
Norte;PA;Pará;3,9109%;3072588,42
Nordeste;BA;Bahia;3,8767%;3045719,28
Sudeste;RJ;Rio de Janeiro;3,8728%;3045719,28
Sul;RS;Rio Grande do Sul;3,8655%;3036920,02
Sul;PR;Paraná;3,8576%;3030713,4
Norte;AM;Amazonas;3,8292%;3008401,02
Norte;RO;Rondônia;3,8246%;3004787,06
Nordeste;CE;Ceará;3,8196%;3000858,8
Nordeste;MA;Maranhão;3,8158%;2997873,34
Nordeste;PE;Pernambuco;3,8084%;2992059,56
Norte;AC;Acre;3,8080%;2991745,28
Norte;RR;Roraima;3,8048%;2989231,22
Norte;AP;Amapá;3,8032%;2987974,2
Sul;SC;Santa Catarina;3,5000%;2749765,92
Centro-Oeste;MS;Mato Grosso do Sul;3,5000%;2749765,92
Centro-Oeste;MT;Mato Grosso;3,5000%;2749765,92
Centro-Oeste;GO;Goiás;3,5000%;2749765,92
Nordeste;PB;Paraíba;3,5000%;2749765,92
Nordeste;AL;Alagoas;3,5000%;2749765,92
Nordeste;SE;Sergipe;3,5000%;2749765,92
Nordeste;PI;Piauí;3,5000%;2749765,92
Nordeste;RN;Rio Grande do Norte;3,5000%;2749765,92
Norte;TO;Tocantins;3,5000%;2749765,92
Sudeste;ES;Espírito Santo;3,5000%;2749765,92
Centro-Oeste;DF;Distrito Federal;3,5000%;2749765,92
