Região;Sigla;Estado;Percentual;Valor;População Total
Norte;AC;Acre;3,8080;38.444.161,10;922.126
Nordeste;AL;Alagoas;3,5000;35.334.706,89;3.409.663
Norte;AP;Amapa;3,8032;38.395.702,07;886.857
Norte;AM;Amazonas;3,8292;38.658.188,46;4.297.563
Nordeste;BA;Bahia;3,8728;39.098.357,96;15.062.581
Nordeste;CE;Ceara;3,8196;38.561.270,41;9.287.066
Centro-Oeste;DF;Distrito Federal;3,5000;35.334.706,89;3.112.605
Sudeste;ES;Espirito Santo;3,5000;35.334.706,89;4.138.441
Centro-Oeste;GO;Goias;3,5000;35.334.706,89;7.245.152
Nordeste;MA;Maranhao;3,8158;38.522.907,01;7.191.086
Sudeste;MG;Minas Gerais;3,9354;39.730.344,43;21.486.306
Centro-Oeste;MS;Mato Grosso do Sul;3,5000;35.334.706,89;2.860.891
Centro-Oeste;MT;Mato Grosso;3,5000;35.334.706,89;3.584.100
Norte;PA;Para;3,9109;39.483.001,48;8.812.904
Nordeste;PB;Paraiba;3,5000;35.334.706,89;4.084.890
Nordeste;PE;Pernambuco;3,8084;38.448.199,35;9.718.988
Nordeste;PI;Piaui;3,5000;35.334.706,89;3.310.250
Sul;PR;Parana;3,8576;38.944.904,37;11.642.008
Sudeste;RJ;Rio de Janeiro;3,8767;39.137.730,91;17.513.784
Nordeste;RN;Rio Grande do Norte;3,5000;35.334.706,89;3.575.824
Norte;RO;Rondonia;3,8246;38.611.748,56;656.388
Norte;RR;Roraima;3,8048;38.411.855,08;555.880
Sul;RS;Rio Grande do Sul;3,8655;39.024.659,85;11.495.078
Sul;SC;Santa Catarina;3,5000;35.334.706,89;7.371.669
Nordeste;SE;Sergipe;3,5000;35.334.706,89;2.352.431
Sudeste;SP;Sao Paulo;4,1675;42.073.540,28;46.766.420
Norte;TO;Tocantins;3,5000;35.334.706,89;1.616.727
